Site ID,Governing LHN,Geographical LHN,Site Name,Address,Suburb,Notes,Search Address,Latitude,Longitude
1,BHFLHN,BHFLHN,Angaston and District Hospital,29 North Street,ANGASTON,,"Angaston and District Hospital, 29 North Street, ANGASTON",-34.50382993,139.0539872
2,BHFLHN,BHFLHN,Mount Barker Hospital,87 Wellington Road,MOUNT BARKER,,"Mount Barker Hospital, 87 Wellington Road, MOUNT BARKER",-35.0823035,138.8700195
3,BHFLHN,BHFLHN,Country Health Connect - Inner North,16 River Road,NURIOOTPA,,"Country Health Connect - Inner North, 16 River Road, NURIOOTPA",-34.47256017,139.0063801
4,BHFLHN,BHFLHN,Country SA PHN,57 Wellington Road,MOUNT BARKER,,"Country SA PHN, 57 Wellington Road, MOUNT BARKER",-35.07939724,138.8664368
5,BHFLHN,BHFLHN,Eudunda Hospital,40 Ward Street,EUDUNDA,,"Eudunda Hospital, 40 Ward Street, EUDUNDA",-34.17526407,139.0905084
6,BHFLHN,BHFLHN,Gawler Health Service,Hutchinson Road,GAWLER,,"Gawler Health Service, Hutchinson Road, GAWLER",-34.59325962,138.755163
7,BHFLHN,BHFLHN,Gumeracha District Soldiers Memorial Hospital,2 Albert Street,GUMERACHA,,"Gumeracha District Soldiers Memorial Hospital, 2 Albert Street, GUMERACHA",-34.82624645,138.881879
8,BHFLHN,BHFLHN,Kangaroo Island Health Service,Esplanade,KINGSCOTE,,"Kangaroo Island Health Service, Esplanade, KINGSCOTE",-35.65280941,137.6413058
9,BHFLHN,BHFLHN,Kapunda Hospital ,24-30 Nash Street,KAPUNDA,,"Kapunda Hospital , 24-30 Nash Street, KAPUNDA",-34.33052195,138.9219032
10,BHFLHN,BHFLHN,Mount Pleasant District Hospital,28 Hospital Road,MOUNT PLEASANT,,"Mount Pleasant District Hospital, 28 Hospital Road, MOUNT PLEASANT",-34.77392231,139.0545771
11,BHFLHN,BHFLHN,Rural Support Service - Tanunda,"Suite 3, 30-38, Tanunda Road ",NURIOOTPA,,"Rural Support Service - Tanunda, Suite 3, 30-38, Tanunda Road , NURIOOTPA",-34.48190557,138.9907538
